bathrooms,bedrooms,price,sizeMin,furnishing,price_per_m2,region
3,2,600000,122,0,4918,Business Bay
3,2,1728000,130,1,13292,Jumeirah Beach Residence
3,4,864000,215,0,4018,Dubai Land
3,2,719999,153,0,4705,The Springs
3,3,587999,195,0,3015,Town Square
7,5,6000000,655,1,9160,Downtown Dubai
3,2,1195200,101,0,11833,Dubai Marina
4,3,672000,184,0,3652,Arabian Ranches 3
3,4,448800,174,0,2579,Damac Hills 2
1,1,228000,62,1,3677,Al Furjan
5,5,2399997,368,1,6521,Meadows
5,3,444000,174,0,2551,Damac Hills 2
4,3,1318800,204,0,6464,Dubai Marina
3,2,504000,110,1,4581,Dubai Marina
4,3,648000,202,0,3207,Arabian Ranches 3
1,1,234000,60,1,3900,Jumeirah Village Circle
5,4,708000,237,0,2987,Dubai South (Dubai World Central)
2,1,478800,84,0,5700,Dubai Marina
3,2,1800000,189,0,9523,Downtown Dubai
5,4,5280000,633,0,8341,Palm Jumeirah
1,0,157680,41,0,3845,Jumeirah Village Circle
4,2,646080,123,0,5252,Mohammed Bin Rashid City
6,4,1440000,569,0,2530,The Villa
3,3,1752000,144,1,12166,Downtown Dubai
2,1,384000,84,1,4571,Business Bay
4,3,1367760,251,0,5449,The Springs
3,2,504000,154,0,3272,Jumeirah Lake Towers
2,1,840000,89,0,9438,Downtown Dubai
2,1,215999,57,1,3789,DAMAC Hills
4,2,429600,115,0,3735,Dubai Silicon Oasis
3,3,1296000,165,1,7854,Dubai Marina
6,4,4320000,431,1,10023,Dubai Marina
5,3,384000,174,0,2206,Damac Hills 2
4,4,1176000,199,0,5909,Dubai Hills Estate
4,3,2088000,173,0,12069,Jumeirah Beach Residence
2,2,672000,103,0,6524,Business Bay
2,1,570000,87,1,6551,Al Kifaf
1,0,156000,35,0,4457,Meydan
2,2,1908000,137,1,13927,Jumeirah Beach Residence
2,1,504000,82,0,6146,Al Kifaf
2,2,720000,153,0,4705,The Springs
2,1,660000,171,0,3859,Jumeirah Beach Residence
5,4,5520000,483,0,11428,Jumeirah Islands
4,3,756000,264,0,2863,Mudon
2,1,305749,87,0,3514,Arjan
